time,wx (rad/s),wy (rad/s),wz (rad/s)
0.336559,-0.15,0.24,-0.20
0.337094,-0.14,0.21,-0.20
0.337434,-0.11,0.15,-0.19
0.337769,-0.09,0.09,-0.18
0.338109,-0.08,0.06,-0.17
0.341256,-0.05,-0.00,-0.16
0.342823,-0.03,-0.07,-0.15
0.344614,-0.01,-0.10,-0.14
0.346934,0.01,-0.14,-0.13
0.349424,0.03,-0.19,-0.12
0.350729,0.04,-0.21,-0.11
0.352422,0.07,-0.24,-0.09
0.354669,0.09,-0.25,-0.07
0.356422,0.10,-0.26,-0.06
0.358595,0.12,-0.27,-0.05
0.360627,0.13,-0.26,-0.03
0.363076,0.14,-0.26,-0.03
0.366444,0.15,-0.25,-0.01
0.366904,0.16,-0.24,0.01
0.368561,0.16,-0.23,0.01
0.371390,0.16,-0.21,0.03
0.372360,0.17,-0.19,0.04
0.374737,0.17,-0.18,0.05
0.376616,0.17,-0.15,0.05
0.378531,0.18,-0.14,0.06
0.383091,0.18,-0.12,0.06
0.383773,0.19,-0.09,0.06
0.384102,0.19,-0.07,0.06
0.386336,0.20,-0.05,0.06
0.388284,0.21,-0.02,0.06
0.390540,0.21,-0.00,0.06
0.392406,0.22,0.03,0.05
0.394306,0.22,0.06,0.05
0.396311,0.23,0.08,0.05
0.399053,0.24,0.11,0.04
0.400730,0.25,0.14,0.03
0.402353,0.26,0.16,0.03
0.404466,0.27,0.19,0.02
0.406461,0.28,0.22,0.01
0.408509,0.29,0.23,0.00
0.410578,0.30,0.24,-0.01
0.412444,0.31,0.26,-0.03
0.414784,0.32,0.26,-0.03
0.416318,0.33,0.27,-0.05
0.419295,0.35,0.27,-0.06
0.419917,0.35,0.27,-0.07
0.422618,0.37,0.26,-0.08
0.424224,0.38,0.25,-0.09
0.426404,0.39,0.24,-0.09
0.428612,0.40,0.22,-0.10
0.434714,0.41,0.20,-0.10
0.435403,0.42,0.17,-0.10
0.435752,0.43,0.14,-0.10
0.436111,0.43,0.12,-0.10
0.438489,0.45,0.09,-0.11
0.440312,0.46,0.06,-0.11
0.442575,0.46,0.05,-0.11
0.444090,0.48,0.03,-0.11
0.449394,0.49,0.01,-0.12
0.450080,0.50,-0.01,-0.12
0.450435,0.51,-0.03,-0.12
0.452876,0.52,-0.06,-0.12
0.454155,0.53,-0.07,-0.12
0.456384,0.54,-0.10,-0.11
0.458635,0.54,-0.12,-0.10
0.460897,0.54,-0.13,-0.10
0.463793,0.55,-0.15,-0.09
0.464284,0.55,-0.17,-0.07
0.467055,0.55,-0.18,-0.06
0.468229,0.55,-0.18,-0.03
0.470724,0.55,-0.19,-0.02
0.472206,0.56,-0.19,-0.01
0.475149,0.55,-0.19,-0.01
0.476529,0.56,-0.19,-0.01
0.479160,0.55,-0.19,-0.01
0.479529,0.55,-0.19,-0.01
0.483679,0.53,-0.20,-0.02
0.484375,0.52,-0.21,-0.02
0.486580,0.51,-0.22,-0.02
0.488478,0.49,-0.23,-0.01
0.491302,0.48,-0.24,-0.01
0.491675,0.46,-0.24,-0.01
0.495124,0.43,-0.26,-0.00
0.496259,0.42,-0.27,-0.00
0.497987,0.40,-0.28,0.00
0.501272,0.38,-0.28,-0.02
0.502369,0.37,-0.26,-0.03
0.504156,0.34,-0.24,-0.06
0.506456,0.32,-0.23,-0.10
0.508438,0.30,-0.22,-0.12
0.511381,0.27,-0.20,-0.14
0.512636,0.24,-0.17,-0.16
0.515448,0.23,-0.16,-0.17
0.516117,0.19,-0.14,-0.17
0.518987,0.17,-0.13,-0.17
0.520634,0.14,-0.11,-0.17
0.523357,0.11,-0.10,-0.16
