time,wx (rad/s),wy (rad/s),wz (rad/s)
0.825738,0.07,-0.02,-0.02
0.827208,0.09,-0.04,-0.02
0.829209,0.10,-0.04,-0.02
0.830964,0.12,-0.06,-0.02
0.832483,0.14,-0.08,-0.03
0.834411,0.14,-0.09,-0.03
0.835763,0.15,-0.11,-0.03
0.836990,0.16,-0.13,-0.03
0.838602,0.17,-0.15,-0.03
0.839859,0.17,-0.16,-0.03
0.840995,0.17,-0.18,-0.03
0.842357,0.17,-0.18,-0.03
0.843240,0.16,-0.18,-0.03
0.844277,0.15,-0.18,-0.03
0.845213,0.15,-0.18,-0.03
0.846419,0.13,-0.17,-0.02
0.847323,0.12,-0.16,-0.02
0.848507,0.10,-0.15,-0.02
0.849684,0.08,-0.13,-0.01
0.850714,0.06,-0.12,-0.01
0.851837,0.03,-0.10,-0.00
0.853005,0.01,-0.09,0.00
0.854370,-0.00,-0.08,0.00
0.855620,-0.03,-0.06,0.01
0.856744,-0.05,-0.05,0.02
0.857788,-0.06,-0.04,0.02
0.858890,-0.09,-0.04,0.02
0.859934,-0.11,-0.03,0.02
0.860823,-0.12,-0.03,0.03
0.861660,-0.14,-0.02,0.03
0.862592,-0.15,-0.01,0.03
0.863328,-0.16,-0.01,0.03
0.864299,-0.17,0.00,0.03
0.865258,-0.18,0.02,0.03
0.866242,-0.18,0.03,0.04
0.866598,-0.20,0.04,0.04
0.866853,-0.20,0.05,0.04
0.867137,-0.21,0.06,0.05
0.867391,-0.22,0.07,0.05
0.867647,-0.22,0.08,0.05
0.867893,-0.23,0.08,0.05
0.868165,-0.23,0.09,0.05
0.868427,-0.24,0.09,0.06
0.868693,-0.24,0.10,0.06
0.868943,-0.24,0.11,0.06
0.869200,-0.24,0.12,0.07
0.869530,-0.24,0.13,0.07
0.869886,-0.24,0.14,0.08
0.870211,-0.24,0.14,0.08
0.870527,-0.23,0.13,0.09
0.870860,-0.22,0.12,0.10
0.871171,-0.22,0.12,0.10
0.871527,-0.22,0.11,0.10
0.874958,-0.21,0.10,0.10
0.875975,-0.20,0.10,0.10
0.877286,-0.19,0.08,0.10
0.878514,-0.19,0.07,0.10
0.880585,-0.18,0.06,0.10
0.889338,-0.16,0.05,0.11
0.890277,-0.14,0.03,0.11
0.890621,-0.13,0.03,0.12
0.890944,-0.10,0.06,0.11
0.891273,-0.07,0.09,0.11
0.894379,-0.06,0.11,0.11
0.895229,-0.04,0.12,0.11
0.897042,-0.02,0.12,0.12
0.904507,-0.02,0.11,0.12
0.905185,-0.01,0.09,0.13
0.905555,-0.00,0.06,0.14
0.905830,-0.00,0.05,0.14
0.906298,0.00,0.01,0.16
0.908248,0.01,-0.01,0.17
0.910398,0.01,-0.05,0.18
0.912463,0.02,-0.09,0.19
0.914370,0.03,-0.11,0.20
0.916999,0.06,-0.11,0.20
0.918438,0.09,-0.11,0.20
0.920085,0.10,-0.11,0.20
0.922096,0.13,-0.12,0.21
0.924201,0.15,-0.13,0.21
0.926134,0.16,-0.14,0.22
0.928016,0.18,-0.17,0.23
0.930264,0.21,-0.20,0.25
0.932817,0.22,-0.22,0.26
0.933918,0.23,-0.26,0.28
0.935985,0.25,-0.31,0.30
0.937977,0.26,-0.33,0.31
0.939995,0.28,-0.39,0.32
0.942081,0.29,-0.45,0.34
0.943852,0.29,-0.47,0.34
0.945940,0.31,-0.48,0.30
0.947794,0.30,-0.49,0.25
0.950310,0.29,-0.48,0.23
0.952455,0.30,-0.48,0.20
0.954235,0.31,-0.48,0.18
0.956012,0.31,-0.46,0.17
0.957861,0.31,-0.45,0.17
0.959744,0.31,-0.44,0.17
0.961985,0.30,-0.42,0.17
0.963634,0.30,-0.40,0.17
0.968479,0.30,-0.39,0.18
0.969029,0.29,-0.38,0.19
0.969921,0.28,-0.37,0.19
0.971691,0.27,-0.36,0.20
0.973669,0.26,-0.36,0.20
0.975915,0.24,-0.36,0.21
0.978796,0.23,-0.36,0.21
0.979819,0.21,-0.36,0.21
0.982982,0.19,-0.36,0.21
0.983871,0.18,-0.36,0.21
0.986056,0.16,-0.36,0.22
0.987838,0.14,-0.36,0.22
0.990477,0.13,-0.36,0.21
0.991855,0.11,-0.35,0.22
0.994267,0.09,-0.35,0.22
0.996063,0.08,-0.35,0.21
0.997742,0.06,-0.34,0.20
1.000119,0.04,-0.32,0.19
1.002394,0.03,-0.32,0.19
1.003733,0.03,-0.30,0.16
1.005953,0.06,-0.28,0.12
1.008101,0.08,-0.27,0.10
1.009859,0.10,-0.26,0.05
1.012356,0.12,-0.25,0.02
1.014117,0.13,-0.25,0.00
1.016125,0.14,-0.25,-0.02
1.017964,0.15,-0.26,-0.05
1.019917,0.16,-0.26,-0.06
1.022612,0.16,-0.26,-0.07
1.023817,0.16,-0.27,-0.08
1.025812,0.17,-0.27,-0.08
1.027827,0.17,-0.27,-0.08
1.029870,0.17,-0.27,-0.09
1.032814,0.17,-0.28,-0.08
1.034279,0.17,-0.28,-0.07
1.036003,0.17,-0.27,-0.07
1.037743,0.17,-0.27,-0.06
1.040023,0.16,-0.26,-0.05
1.042227,0.16,-0.26,-0.04
1.044828,0.15,-0.24,-0.03
1.046596,0.15,-0.22,-0.01
1.047665,0.15,-0.22,-0.01
1.051151,0.14,-0.19,0.01
1.052688,0.13,-0.18,0.02
1.053913,0.13,-0.16,0.02
1.056234,0.12,-0.14,0.03
1.058143,0.12,-0.12,0.04
1.060011,0.12,-0.11,0.04
1.061870,0.11,-0.09,0.04
1.063950,0.11,-0.07,0.04
1.073182,0.10,-0.06,0.04
1.074236,0.09,-0.05,0.03
1.074619,0.09,-0.04,0.03
1.074967,0.08,-0.03,0.02
1.075322,0.08,-0.03,0.01
1.075662,0.07,-0.03,0.01
1.077630,0.06,-0.03,-0.00
1.079697,0.05,-0.04,-0.02
1.083439,0.04,-0.04,-0.02
1.084465,0.04,-0.05,-0.04
1.086369,0.03,-0.07,-0.05
1.087931,0.02,-0.08,-0.06
1.089900,0.02,-0.09,-0.07
1.091746,0.01,-0.11,-0.09
1.093800,0.00,-0.12,-0.09
1.095684,-0.01,-0.14,-0.10
1.097656,-0.04,-0.17,-0.12
1.099661,-0.05,-0.18,-0.12
1.101771,-0.08,-0.20,-0.13
1.103956,-0.11,-0.22,-0.14
1.105687,-0.12,-0.23,-0.15
1.108232,-0.15,-0.24,-0.16
1.109853,-0.18,-0.24,-0.16
1.112058,-0.19,-0.25,-0.16
1.113823,-0.24,-0.25,-0.16
1.116744,-0.29,-0.26,-0.17
1.118306,-0.31,-0.25,-0.17
1.120144,-0.36,-0.24,-0.16
1.121844,-0.40,-0.22,-0.16
1.123924,-0.42,-0.21,-0.16
1.125768,-0.45,-0.18,-0.14
1.127568,-0.48,-0.14,-0.13
1.130214,-0.48,-0.12,-0.12
1.133941,-0.49,-0.07,-0.10
1.135576,-0.49,-0.03,-0.08
1.136503,-0.48,-0.01,-0.07
1.137828,-0.47,0.02,-0.05
1.139739,-0.47,0.04,-0.05
1.141595,-0.45,0.06,-0.04
1.143616,-0.43,0.08,-0.03
1.145705,-0.42,0.09,-0.03
1.147657,-0.40,0.10,-0.03
1.151077,-0.37,0.10,-0.03
1.152654,-0.36,0.10,-0.03
1.153973,-0.33,0.10,-0.04
1.155727,-0.30,0.10,-0.05
1.157383,-0.29,0.09,-0.05
1.159588,-0.25,0.09,-0.06
1.161635,-0.22,0.08,-0.06
1.163344,-0.20,0.07,-0.06
1.170680,-0.17,0.06,-0.06
1.171729,-0.12,0.06,-0.06
1.172113,-0.10,0.05,-0.06
1.172456,-0.07,0.05,-0.06
1.173367,-0.02,0.05,-0.06
1.176152,-0.00,0.05,-0.06
1.177561,0.03,0.04,-0.06
1.179222,0.05,0.03,-0.06
1.186240,0.09,0.03,-0.06
1.187545,0.12,0.01,-0.05
1.187917,0.14,0.01,-0.05
1.188247,0.17,-0.01,-0.05
1.189907,0.20,-0.04,-0.04
1.191685,0.22,-0.05,-0.04
1.193545,0.24,-0.07,-0.03
1.195548,0.26,-0.09,-0.03
1.197387,0.28,-0.10,-0.03
1.199788,0.30,-0.13,-0.03
1.201262,0.33,-0.14,-0.03
1.203501,0.34,-0.15,-0.03
1.205285,0.37,-0.16,-0.04
1.207260,0.40,-0.20,-0.06
1.209118,0.41,-0.22,-0.08
1.211161,0.44,-0.27,-0.11
1.213644,0.47,-0.32,-0.14
1.216343,0.48,-0.34,-0.15
1.219736,0.50,-0.36,-0.18
1.220241,0.53,-0.37,-0.20
1.221185,0.54,-0.38,-0.21
1.223798,0.57,-0.39,-0.23
1.225348,0.59,-0.42,-0.24
1.227518,0.60,-0.43,-0.24
1.229114,0.62,-0.47,-0.25
1.233168,0.63,-0.51,-0.24
1.234372,0.64,-0.53,-0.24
1.235537,0.65,-0.58,-0.23
1.237690,0.65,-0.60,-0.22
1.239364,0.65,-0.65,-0.21
1.241293,0.65,-0.71,-0.19
1.243868,0.65,-0.73,-0.18
1.245096,0.65,-0.78,-0.16
1.247178,0.65,-0.81,-0.13
1.250154,0.65,-0.84,-0.12
