time,wx (rad/s),wy (rad/s),wz (rad/s)
0.845431,-0.32,0.25,0.12
0.847035,-0.35,0.30,0.12
0.848912,-0.36,0.36,0.11
0.850676,-0.37,0.39,0.11
0.852292,-0.38,0.44,0.11
0.854019,-0.38,0.46,0.10
0.855528,-0.39,0.50,0.10
0.857168,-0.39,0.54,0.09
0.858514,-0.39,0.56,0.09
0.859656,-0.38,0.60,0.08
0.860808,-0.37,0.62,0.08
0.861934,-0.36,0.64,0.08
0.862837,-0.35,0.67,0.07
0.863983,-0.33,0.70,0.07
0.865575,-0.32,0.72,0.07
0.866976,-0.30,0.75,0.07
0.869562,-0.27,0.78,0.07
0.870683,-0.26,0.80,0.07
0.872122,-0.23,0.83,0.07
0.873899,-0.19,0.87,0.06
0.874605,-0.17,0.89,0.06
0.875367,-0.13,0.92,0.05
0.876288,-0.10,0.96,0.04
0.877512,-0.08,0.97,0.03
0.878383,-0.05,0.99,0.02
0.879414,-0.01,1.01,-0.00
0.880749,0.00,1.01,-0.01
0.884136,0.03,1.01,-0.03
0.885208,0.06,1.00,-0.06
0.886067,0.07,1.00,-0.07
0.887856,0.09,1.00,-0.10
0.889663,0.11,1.00,-0.12
0.891706,0.12,1.00,-0.13
0.893559,0.13,1.01,-0.14
0.895202,0.13,1.02,-0.15
0.899739,0.13,1.04,-0.16
0.900677,0.14,1.07,-0.17
0.901724,0.14,1.08,-0.18
0.903819,0.14,1.11,-0.19
0.905308,0.13,1.12,-0.21
0.907324,0.12,1.13,-0.22
0.909392,0.12,1.10,-0.24
0.911733,0.11,1.01,-0.30
0.913968,0.11,0.94,-0.33
0.915868,0.10,0.81,-0.41
0.918208,0.08,0.68,-0.48
0.919369,0.07,0.60,-0.51
0.921193,0.05,0.45,-0.58
0.923993,0.01,0.28,-0.63
0.925274,-0.01,0.20,-0.65
0.927447,-0.06,0.03,-0.69
0.929357,-0.11,-0.14,-0.72
0.933006,-0.14,-0.22,-0.72
0.933902,-0.20,-0.38,-0.73
0.935337,-0.26,-0.51,-0.72
0.937554,-0.29,-0.56,-0.70
0.939306,-0.35,-0.65,-0.66
0.941209,-0.41,-0.73,-0.62
0.943349,-0.43,-0.76,-0.59
0.945463,-0.49,-0.83,-0.54
0.947165,-0.55,-0.87,-0.48
0.950164,-0.58,-0.88,-0.45
0.951458,-0.62,-0.89,-0.39
0.953707,-0.66,-0.88,-0.32
0.955824,-0.68,-0.86,-0.29
0.957382,-0.71,-0.80,-0.23
0.959619,-0.72,-0.75,-0.19
0.961509,-0.73,-0.65,-0.13
0.963539,-0.74,-0.52,-0.07
0.966320,-0.74,-0.44,-0.04
0.971392,-0.74,-0.28,0.01
0.972033,-0.73,-0.11,0.07
0.972431,-0.73,-0.01,0.09
0.973566,-0.72,0.17,0.13
0.975447,-0.70,0.35,0.18
