time,wx (rad/s),wy (rad/s),wz (rad/s)
0.005094,-0.07,0.04,-0.07
0.005677,-0.08,0.03,-0.08
0.006125,-0.09,0.03,-0.09
0.006468,-0.10,0.03,-0.10
0.006754,-0.10,0.03,-0.10
0.006984,-0.10,0.03,-0.10
0.007179,-0.10,0.05,-0.11
0.007371,-0.09,0.06,-0.11
0.007562,-0.09,0.06,-0.10
0.007764,-0.09,0.06,-0.10
0.007944,-0.08,0.06,-0.10
0.008209,-0.08,0.06,-0.10
0.008406,-0.07,0.07,-0.09
0.008650,-0.06,0.08,-0.09
0.014432,-0.05,0.08,-0.08
0.015194,-0.05,0.09,-0.06
0.015539,-0.04,0.09,-0.06
0.018434,-0.03,0.09,-0.04
0.019073,-0.01,0.11,-0.03
0.032884,-0.01,0.11,-0.02
0.033463,0.00,0.13,-0.00
0.033723,0.02,0.14,0.02
0.033970,0.03,0.15,0.02
0.034217,0.04,0.17,0.03
0.034484,0.05,0.18,0.04
0.034739,0.05,0.19,0.04
0.034977,0.06,0.20,0.04
0.037201,0.07,0.22,0.05
0.044004,0.07,0.22,0.04
0.044722,0.08,0.24,0.04
0.045139,0.08,0.25,0.03
0.045522,0.08,0.26,0.03
0.046691,0.08,0.28,0.02
0.048328,0.08,0.30,0.01
0.050403,0.07,0.31,0.00
0.054251,0.07,0.33,-0.01
0.054880,0.06,0.35,-0.03
0.067651,0.06,0.36,-0.03
0.068155,0.05,0.38,-0.05
0.068421,0.04,0.41,-0.05
0.068611,0.04,0.42,-0.06
0.068892,0.03,0.44,-0.07
0.069092,0.02,0.46,-0.07
0.069306,0.01,0.47,-0.08
0.072035,0.00,0.49,-0.08
0.072642,-0.00,0.51,-0.09
0.074372,-0.01,0.52,-0.10
0.076177,-0.02,0.53,-0.10
0.078386,-0.02,0.54,-0.10
0.080132,-0.03,0.55,-0.11
0.082158,-0.04,0.56,-0.11
0.085996,-0.04,0.56,-0.10
0.086577,-0.05,0.57,-0.10
0.088459,-0.05,0.57,-0.09
0.090489,-0.06,0.57,-0.09
0.092413,-0.06,0.57,-0.08
0.096480,-0.07,0.57,-0.07
0.096912,-0.07,0.57,-0.07
0.098413,-0.07,0.56,-0.06
0.100296,-0.08,0.55,-0.04
0.102659,-0.08,0.55,-0.04
0.104905,-0.08,0.53,-0.03
0.106680,-0.08,0.51,-0.02
0.108396,-0.08,0.50,-0.01
0.111222,-0.08,0.48,-0.00
0.112193,-0.07,0.46,0.00
0.114447,-0.07,0.45,0.01
0.116276,-0.07,0.43,0.01
0.118572,-0.07,0.41,0.02
0.120394,-0.07,0.40,0.02
0.122580,-0.06,0.37,0.02
0.125171,-0.05,0.34,0.03
0.126456,-0.05,0.33,0.02
0.128464,-0.05,0.30,0.03
0.130386,-0.04,0.28,0.03
0.132851,-0.04,0.27,0.03
0.135687,-0.03,0.24,0.03
0.136183,-0.03,0.22,0.02
0.138506,-0.02,0.21,0.02
0.140325,-0.02,0.20,0.00
0.142395,-0.02,0.19,-0.01
0.144196,-0.02,0.18,-0.01
0.146091,-0.02,0.18,-0.03
0.148253,-0.02,0.18,-0.04
0.150151,-0.02,0.17,-0.05
0.152729,-0.02,0.17,-0.06
0.155001,-0.02,0.17,-0.07
0.156501,-0.02,0.17,-0.08
0.158426,-0.03,0.17,-0.09
0.160619,-0.02,0.18,-0.09
0.162397,-0.03,0.18,-0.10
0.165790,-0.03,0.18,-0.10
0.166259,-0.03,0.18,-0.10
0.171860,-0.03,0.18,-0.10
0.172591,-0.03,0.18,-0.10
0.173049,-0.03,0.18,-0.09
0.174527,-0.03,0.17,-0.09
0.176468,-0.04,0.17,-0.08
0.178993,-0.03,0.17,-0.07
0.180276,-0.04,0.17,-0.07
0.182470,-0.04,0.17,-0.06
0.184463,-0.04,0.17,-0.05
0.186777,-0.03,0.16,-0.04
0.188451,-0.03,0.15,-0.03
0.191092,-0.03,0.15,-0.03
0.192561,-0.03,0.13,-0.02
0.194669,-0.03,0.12,-0.01
0.196315,-0.02,0.11,-0.01
0.198232,-0.02,0.09,-0.01
0.200032,-0.01,0.07,-0.01
0.202896,-0.01,0.06,-0.01
0.204862,-0.00,0.03,-0.02
0.207220,0.00,0.00,-0.02
0.208309,0.00,-0.01,-0.02
0.210795,0.02,-0.04,-0.03
0.212300,0.02,-0.07,-0.04
0.214972,0.02,-0.08,-0.04
0.216380,0.03,-0.12,-0.05
0.220061,0.04,-0.13,-0.04
0.220855,0.05,-0.17,-0.05
0.222895,0.05,-0.20,-0.05
0.224337,0.06,-0.22,-0.05
0.226230,0.07,-0.26,-0.05
0.228121,0.08,-0.29,-0.04
0.230647,0.08,-0.31,-0.04
0.232193,0.08,-0.34,-0.03
0.236306,0.09,-0.38,-0.03
0.237116,0.09,-0.39,-0.03
0.239067,0.09,-0.42,-0.02
0.240644,0.10,-0.44,-0.01
0.242843,0.10,-0.45,-0.00
0.244180,0.10,-0.48,0.00
0.246688,0.10,-0.50,0.02
0.248089,0.09,-0.51,0.02
0.250615,0.10,-0.53,0.03
0.253350,0.09,-0.55,0.04
0.254365,0.09,-0.55,0.04
0.256591,0.08,-0.57,0.05
0.259109,0.08,-0.58,0.05
0.260542,0.08,-0.59,0.06
0.262805,0.07,-0.59,0.06
0.264333,0.06,-0.60,0.06
0.266670,0.06,-0.60,0.06
0.282846,0.05,-0.59,0.06
0.284191,0.04,-0.59,0.06
0.285410,0.03,-0.58,0.06
0.286576,0.02,-0.57,0.06
0.287676,0.01,-0.55,0.06
0.289606,0.00,-0.55,0.05
0.290894,-0.01,-0.52,0.05
0.292482,-0.01,-0.51,0.05
0.293574,-0.02,-0.49,0.05
0.294817,-0.03,-0.46,0.05
0.295944,-0.04,-0.44,0.05
0.297023,-0.04,-0.42,0.06
0.298139,-0.05,-0.40,0.07
0.299246,-0.05,-0.39,0.07
0.300263,-0.05,-0.39,0.08
0.301440,-0.05,-0.37,0.09
0.302540,-0.05,-0.37,0.09
0.303480,-0.04,-0.37,0.10
0.304619,-0.04,-0.36,0.10
0.314438,-0.04,-0.36,0.11
0.315226,-0.04,-0.35,0.11
0.315598,-0.03,-0.34,0.11
0.315930,-0.03,-0.34,0.11
0.316257,-0.02,-0.33,0.11
0.316573,-0.01,-0.33,0.10
0.320369,-0.00,-0.33,0.10
0.321310,0.01,-0.33,0.10
0.322569,0.02,-0.33,0.09
0.324209,0.02,-0.33,0.09
0.326230,0.03,-0.33,0.07
0.328099,0.05,-0.33,0.05
0.330370,0.05,-0.33,0.04
0.332137,0.06,-0.33,0.01
0.334208,0.08,-0.34,-0.00
0.336458,0.08,-0.35,-0.01
0.338485,0.10,-0.38,-0.02
0.340395,0.11,-0.41,-0.02
0.342714,0.12,-0.42,-0.02
0.344024,0.14,-0.44,-0.02
0.346253,0.16,-0.47,-0.02
0.347991,0.16,-0.49,-0.02
0.350028,0.18,-0.51,-0.03
0.361186,0.20,-0.54,-0.03
0.361909,0.21,-0.55,-0.03
0.362225,0.23,-0.58,-0.03
0.362477,0.24,-0.59,-0.03
0.362739,0.25,-0.62,-0.04
0.363001,0.28,-0.63,-0.05
0.364138,0.28,-0.64,-0.05
0.365986,0.30,-0.66,-0.06
0.368655,0.31,-0.68,-0.05
0.370142,0.33,-0.69,-0.05
0.372174,0.34,-0.70,-0.03
0.374554,0.35,-0.70,-0.01
0.375899,0.35,-0.70,-0.00
0.377829,0.37,-0.70,0.02
0.379832,0.38,-0.68,0.04
0.381940,0.38,-0.68,0.04
0.384721,0.40,-0.66,0.06
0.386031,0.41,-0.65,0.07
0.388517,0.41,-0.64,0.08
0.390243,0.41,-0.63,0.09
0.391769,0.42,-0.61,0.09
0.393873,0.42,-0.60,0.09
0.395947,0.42,-0.58,0.09
0.397672,0.43,-0.56,0.09
0.399786,0.43,-0.54,0.09
0.401866,0.43,-0.52,0.08
0.407071,0.43,-0.51,0.08
0.407732,0.43,-0.49,0.06
0.408086,0.43,-0.46,0.05
0.410026,0.43,-0.45,0.04
0.411915,0.43,-0.42,0.03
0.414166,0.43,-0.39,0.01
0.415640,0.43,-0.38,0.00
0.419328,0.43,-0.35,-0.02
0.421044,0.42,-0.31,-0.03
0.421915,0.42,-0.30,-0.05
0.424334,0.42,-0.26,-0.06
0.425906,0.41,-0.22,-0.08
0.427864,0.41,-0.20,-0.08
0.430181,0.40,-0.17,-0.10
0.431865,0.40,-0.13,-0.11
0.434115,0.39,-0.11,-0.11
0.437237,0.39,-0.08,-0.11
0.439066,0.38,-0.04,-0.12
0.440362,0.37,-0.02,-0.12
0.442626,0.37,0.02,-0.12
0.444135,0.36,0.06,-0.12
0.446207,0.36,0.08,-0.12
0.448332,0.34,0.11,-0.11
0.450328,0.34,0.15,-0.10
0.453361,0.33,0.17,-0.10
0.455521,0.32,0.21,-0.09
0.457210,0.31,0.25,-0.08
0.459171,0.30,0.27,-0.08
0.460322,0.29,0.30,-0.07
0.462135,0.28,0.35,-0.06
0.463971,0.28,0.37,-0.06
0.465987,0.27,0.40,-0.05
0.476393,0.26,0.44,-0.05
0.478156,0.25,0.46,-0.05
0.479367,0.24,0.49,-0.04
0.480516,0.23,0.53,-0.04
0.481573,0.23,0.55,-0.04
0.481987,0.22,0.58,-0.04
0.482344,0.21,0.60,-0.04
0.482670,0.20,0.63,-0.05
0.484079,0.19,0.66,-0.06
0.486557,0.18,0.68,-0.06
0.487966,0.17,0.71,-0.07
0.489704,0.17,0.74,-0.08
0.492189,0.16,0.75,-0.09
0.494197,0.16,0.78,-0.10
0.496003,0.15,0.81,-0.11
0.498133,0.15,0.83,-0.12
0.499639,0.14,0.85,-0.13
0.502775,0.13,0.88,-0.14
0.504227,0.13,0.89,-0.15
0.506306,0.12,0.92,-0.16
0.507833,0.12,0.94,-0.16
0.509822,0.12,0.95,-0.17
0.511751,0.12,0.97,-0.17
0.513971,0.11,0.99,-0.18
0.516344,0.11,1.00,-0.18
0.519810,0.11,1.02,-0.18
0.521540,0.11,1.04,-0.18
0.522931,0.11,1.05,-0.18
0.524747,0.11,1.06,-0.17
0.525963,0.11,1.08,-0.17
0.527917,0.11,1.08,-0.17
0.529886,0.11,1.10,-0.16
0.532228,0.11,1.11,-0.15
0.534211,0.11,1.11,-0.15
0.537147,0.12,1.13,-0.14
0.538840,0.12,1.13,-0.13
0.540065,0.12,1.14,-0.12
0.542394,0.13,1.15,-0.11
0.543995,0.13,1.15,-0.11
0.545831,0.14,1.16,-0.10
0.547886,0.15,1.16,-0.09
0.550096,0.15,1.16,-0.08
0.552774,0.15,1.17,-0.08
0.553867,0.16,1.17,-0.07
0.555627,0.17,1.17,-0.07
0.558226,0.17,1.17,-0.06
0.560071,0.18,1.17,-0.06
0.561947,0.19,1.17,-0.06
0.563551,0.20,1.16,-0.07
0.565545,0.21,1.13,-0.07
0.571142,0.22,1.12,-0.07
0.572023,0.23,1.08,-0.08
0.572377,0.24,1.05,-0.08
0.573645,0.25,1.03,-0.08
0.576085,0.25,0.98,-0.09
0.577684,0.27,0.93,-0.09
0.579798,0.27,0.90,-0.09
0.581903,0.29,0.86,-0.10
0.583955,0.30,0.80,-0.10
0.586353,0.31,0.78,-0.10
0.587873,0.32,0.73,-0.10
0.589895,0.33,0.68,-0.11
0.591627,0.34,0.65,-0.11
0.593896,0.36,0.59,-0.10
0.596058,0.37,0.53,-0.10
0.597430,0.37,0.51,-0.10
0.599601,0.38,0.45,-0.10
0.603319,0.39,0.43,-0.09
