time,wx (rad/s),wy (rad/s),wz (rad/s)
0.606267,0.40,0.37,-0.09
0.607587,0.41,0.32,-0.09
0.608639,0.41,0.30,-0.08
0.609774,0.43,0.25,-0.07
0.611815,0.44,0.19,-0.06
0.613989,0.44,0.17,-0.06
0.615610,0.45,0.11,-0.05
0.619335,0.45,0.06,-0.05
0.621386,0.46,0.03,-0.04
0.622598,0.47,-0.02,-0.03
0.624594,0.47,-0.08,-0.03
0.625872,0.48,-0.11,-0.03
0.627516,0.48,-0.16,-0.02
0.629883,0.49,-0.21,-0.02
0.632021,0.49,-0.24,-0.02
0.633894,0.49,-0.29,-0.01
0.636992,0.49,-0.33,-0.01
0.639072,0.49,-0.36,-0.01
0.640411,0.50,-0.40,-0.01
0.641925,0.49,-0.45,-0.01
0.643587,0.50,-0.46,-0.01
0.646049,0.49,-0.50,-0.01
0.647498,0.49,-0.54,-0.01
0.650180,0.49,-0.55,-0.01
0.652518,0.49,-0.58,-0.02
0.653763,0.48,-0.60,-0.02
0.655369,0.48,-0.61,-0.02
0.657494,0.48,-0.63,-0.02
0.659435,0.47,-0.64,-0.02
0.661357,0.46,-0.65,-0.02
0.663360,0.46,-0.67,-0.03
0.665350,0.46,-0.67,-0.02
0.671845,0.44,-0.68,-0.03
0.672997,0.43,-0.69,-0.02
0.673410,0.43,-0.69,-0.02
0.673983,0.42,-0.70,-0.02
0.675587,0.41,-0.70,-0.02
0.677600,0.40,-0.70,-0.02
0.679441,0.39,-0.70,-0.02
0.681554,0.37,-0.70,-0.02
0.683897,0.37,-0.70,-0.02
0.686605,0.36,-0.70,-0.01
0.687958,0.34,-0.69,-0.01
0.689708,0.33,-0.69,-0.01
0.691381,0.32,-0.68,-0.01
0.693402,0.31,-0.67,-0.01
0.695380,0.30,-0.67,-0.00
0.697275,0.28,-0.66,-0.00
0.699321,0.26,-0.65,0.00
0.702080,0.26,-0.65,-0.00
0.703613,0.24,-0.64,-0.00
0.705758,0.22,-0.64,0.00
0.707847,0.21,-0.63,0.00
0.710065,0.19,-0.63,-0.00
0.711498,0.18,-0.63,-0.00
0.713416,0.17,-0.62,-0.00
0.715851,0.15,-0.61,-0.00
0.722688,0.14,-0.61,-0.00
0.724256,0.12,-0.60,-0.00
0.724652,0.10,-0.59,-0.01
0.725064,0.10,-0.58,-0.01
0.725377,0.08,-0.57,-0.01
0.727195,0.07,-0.56,-0.01
0.729263,0.05,-0.55,-0.02
0.731080,0.04,-0.54,-0.02
0.733584,0.02,-0.53,-0.02
0.735642,0.02,-0.52,-0.02
0.737483,-0.00,-0.51,-0.03
0.739392,-0.02,-0.50,-0.03
0.741260,-0.02,-0.49,-0.03
0.743064,-0.04,-0.48,-0.03
0.745570,-0.05,-0.47,-0.03
0.747440,-0.06,-0.46,-0.03
0.749259,-0.07,-0.45,-0.04
0.755848,-0.08,-0.44,-0.04
0.757286,-0.09,-0.43,-0.04
0.757678,-0.10,-0.42,-0.04
0.757960,-0.11,-0.40,-0.04
0.759182,-0.11,-0.40,-0.04
0.761117,-0.13,-0.38,-0.04
0.763192,-0.13,-0.37,-0.04
0.765342,-0.14,-0.36,-0.04
0.766973,-0.15,-0.34,-0.04
0.769244,-0.15,-0.33,-0.04
0.771167,-0.15,-0.32,-0.04
0.773311,-0.16,-0.31,-0.04
0.775089,-0.16,-0.30,-0.04
0.776989,-0.17,-0.29,-0.04
0.778954,-0.17,-0.27,-0.04
0.781137,-0.17,-0.26,-0.04
0.782955,-0.18,-0.25,-0.04
0.785517,-0.18,-0.23,-0.04
0.787317,-0.18,-0.22,-0.04
0.789465,-0.18,-0.21,-0.04
0.790998,-0.18,-0.19,-0.03
0.793305,-0.18,-0.19,-0.04
0.795128,-0.18,-0.17,-0.04
0.796955,-0.17,-0.15,-0.04
0.799139,-0.17,-0.15,-0.04
0.802123,-0.17,-0.13,-0.03
0.803808,-0.16,-0.12,-0.04
0.805536,-0.16,-0.11,-0.04
0.807527,-0.15,-0.09,-0.03
0.809602,-0.15,-0.08,-0.04
0.811605,-0.14,-0.07,-0.04
0.813433,-0.14,-0.06,-0.04
0.815208,-0.13,-0.04,-0.03
0.819124,-0.12,-0.04,-0.04
0.820913,-0.11,-0.02,-0.04
0.822067,-0.11,-0.02,-0.04
0.823863,-0.10,0.00,-0.03
0.825438,-0.09,0.01,-0.04
0.827380,-0.08,0.02,-0.04
0.829115,-0.07,0.03,-0.04
0.831450,-0.06,0.05,-0.04
0.833264,-0.05,0.05,-0.03
0.836219,-0.04,0.07,-0.03
0.838044,-0.03,0.08,-0.03
0.839867,-0.02,0.09,-0.03
0.841270,-0.00,0.10,-0.03
0.843566,0.01,0.11,-0.03
0.844955,0.01,0.12,-0.03
0.847190,0.03,0.14,-0.03
0.848973,0.04,0.14,-0.03
0.852329,0.05,0.15,-0.03
0.854190,0.07,0.17,-0.02
0.855337,0.08,0.18,-0.03
0.857351,0.09,0.19,-0.02
0.859128,0.10,0.20,-0.02
0.861331,0.11,0.21,-0.02
0.863089,0.12,0.22,-0.02
0.865023,0.14,0.23,-0.02
0.867347,0.15,0.24,-0.01
0.876465,0.16,0.25,-0.01
0.877477,0.17,0.26,-0.01
0.877825,0.18,0.27,-0.01
0.878176,0.19,0.28,-0.01
0.878544,0.20,0.29,-0.01
0.878875,0.21,0.30,-0.01
0.880906,0.22,0.31,-0.01
0.882833,0.23,0.32,-0.00
0.885842,0.23,0.32,-0.01
0.886910,0.24,0.33,-0.00
0.888812,0.25,0.34,-0.01
0.890827,0.26,0.35,-0.01
0.892802,0.27,0.36,-0.01
0.895685,0.27,0.37,-0.01
0.896968,0.27,0.37,-0.02
0.899291,0.28,0.38,-0.02
0.901834,0.28,0.39,-0.02
0.903033,0.29,0.40,-0.02
0.904587,0.29,0.41,-0.02
0.906705,0.30,0.42,-0.03
0.908772,0.30,0.42,-0.03
0.910818,0.30,0.43,-0.02
0.912586,0.30,0.44,-0.03
0.914651,0.30,0.44,-0.03
0.916603,0.30,0.45,-0.03
0.919037,0.30,0.46,-0.02
0.920743,0.30,0.46,-0.02
0.922660,0.30,0.47,-0.02
0.925020,0.29,0.48,-0.02
0.927457,0.29,0.48,-0.02
0.928635,0.29,0.49,-0.01
0.930660,0.28,0.49,-0.01
0.932556,0.28,0.50,-0.01
0.935392,0.28,0.51,-0.01
0.936577,0.27,0.51,-0.01
0.938726,0.26,0.52,-0.00
0.940625,0.26,0.52,-0.00
0.942708,0.25,0.52,0.00
0.944955,0.24,0.53,0.00
0.946925,0.23,0.53,0.01
0.949090,0.23,0.54,0.01
0.951437,0.21,0.54,0.01
0.953856,0.20,0.55,0.01
0.954931,0.20,0.55,0.01
0.957963,0.19,0.55,0.01
0.959757,0.17,0.55,0.01
0.961081,0.16,0.56,0.01
0.962838,0.15,0.56,0.01
0.964666,0.14,0.56,0.01
0.966592,0.13,0.56,0.00
0.976863,0.11,0.56,0.00
0.978481,0.10,0.56,-0.00
0.979561,0.09,0.56,-0.00
0.981290,0.07,0.56,-0.01
0.981879,0.07,0.56,-0.01
0.982233,0.05,0.56,-0.01
0.982700,0.03,0.56,-0.01
0.983008,0.03,0.56,-0.02
0.988337,0.01,0.56,-0.02
0.989439,-0.01,0.56,-0.02
0.989876,-0.02,0.56,-0.02
0.991418,-0.04,0.55,-0.02
0.992746,-0.06,0.55,-0.02
0.994786,-0.06,0.55,-0.03
0.996805,-0.08,0.55,-0.02
0.998572,-0.10,0.54,-0.02
1.000537,-0.11,0.54,-0.02
1.002495,-0.13,0.54,-0.02
1.004652,-0.14,0.53,-0.02
1.006680,-0.15,0.53,-0.02
1.008729,-0.17,0.53,-0.02
1.010535,-0.19,0.52,-0.01
1.012454,-0.20,0.52,-0.01
1.014675,-0.21,0.51,-0.01
1.016383,-0.23,0.50,-0.01
1.018605,-0.24,0.50,-0.00
1.020405,-0.25,0.49,-0.00
1.022481,-0.27,0.49,0.00
1.024979,-0.27,0.49,0.01
1.027133,-0.29,0.48,0.01
1.028960,-0.30,0.47,0.01
1.030618,-0.31,0.46,0.02
1.032402,-0.32,0.45,0.02
1.035555,-0.33,0.44,0.02
1.037420,-0.34,0.43,0.03
1.038522,-0.36,0.43,0.03
1.040538,-0.36,0.41,0.03
1.042668,-0.37,0.41,0.03
1.044623,-0.38,0.40,0.03
1.046787,-0.39,0.39,0.03
1.048511,-0.39,0.38,0.03
1.052124,-0.40,0.36,0.03
1.053910,-0.40,0.36,0.03
1.054946,-0.41,0.34,0.03
1.056605,-0.42,0.33,0.03
1.058700,-0.42,0.32,0.03
1.060601,-0.43,0.30,0.03
1.062502,-0.43,0.29,0.03
1.064382,-0.43,0.28,0.03
1.066609,-0.44,0.26,0.03
1.076305,-0.44,0.24,0.02
1.077273,-0.44,0.24,0.03
1.077609,-0.44,0.22,0.02
1.077944,-0.44,0.20,0.03
1.078278,-0.44,0.19,0.03
1.078608,-0.44,0.18,0.02
1.080384,-0.44,0.16,0.02
1.082454,-0.44,0.15,0.02
1.086679,-0.43,0.13,0.02
1.087627,-0.43,0.11,0.03
1.088633,-0.43,0.10,0.03
1.090543,-0.43,0.08,0.03
1.092294,-0.42,0.06,0.03
1.094541,-0.42,0.05,0.03
1.096207,-0.41,0.03,0.04
1.098288,-0.41,0.02,0.04
1.100278,-0.40,0.00,0.04
1.102355,-0.39,-0.02,0.04
1.104314,-0.39,-0.03,0.05
1.106255,-0.38,-0.05,0.05
1.108068,-0.37,-0.07,0.05
1.110283,-0.37,-0.08,0.06
1.112112,-0.36,-0.10,0.06
1.114161,-0.35,-0.12,0.06
1.115986,-0.34,-0.13,0.06
1.118976,-0.33,-0.15,0.06
1.120288,-0.32,-0.17,0.07
1.122265,-0.32,-0.18,0.07
1.124115,-0.31,-0.20,0.07
1.126392,-0.30,-0.22,0.07
1.128241,-0.29,-0.23,0.07
1.130540,-0.28,-0.25,0.07
1.132194,-0.27,-0.27,0.07
1.135663,-0.26,-0.28,0.07
1.137520,-0.25,-0.30,0.07
1.138959,-0.24,-0.32,0.07
1.140477,-0.23,-0.33,0.07
1.142501,-0.22,-0.35,0.07
1.144140,-0.22,-0.36,0.07
1.146051,-0.20,-0.37,0.07
1.147978,-0.19,-0.39,0.06
1.150757,-0.19,-0.40,0.06
1.154622,-0.18,-0.42,0.06
1.156405,-0.17,-0.44,0.06
1.157797,-0.16,-0.44,0.06
1.158810,-0.15,-0.46,0.06
1.160072,-0.14,-0.48,0.06
1.162016,-0.13,-0.49,0.06
1.164113,-0.13,-0.50,0.05
1.166133,-0.12,-0.51,0.06
1.175201,-0.12,-0.52,0.06
1.176061,-0.11,-0.53,0.06
1.176446,-0.10,-0.54,0.06
1.176884,-0.10,-0.55,0.06
1.177238,-0.09,-0.56,0.06
1.177986,-0.09,-0.57,0.06
1.180164,-0.08,-0.58,0.07
1.182357,-0.08,-0.59,0.07
1.185672,-0.07,-0.60,0.08
1.186575,-0.08,-0.60,0.08
1.188098,-0.07,-0.61,0.08
1.190645,-0.07,-0.62,0.08
1.192005,-0.07,-0.62,0.09
1.194110,-0.06,-0.62,0.09
1.196019,-0.06,-0.63,0.09
1.198132,-0.07,-0.63,0.10
1.200026,-0.06,-0.64,0.10
1.202084,-0.07,-0.64,0.10
1.203987,-0.06,-0.64,0.11
1.206663,-0.07,-0.64,0.11
1.208254,-0.07,-0.64,0.11
1.210623,-0.08,-0.64,0.11
1.212011,-0.08,-0.64,0.11
1.214046,-0.08,-0.64,0.11
1.216042,-0.09,-0.64,0.11
1.218817,-0.09,-0.64,0.11
1.219698,-0.10,-0.64,0.11
1.222757,-0.10,-0.64,0.11
1.224323,-0.11,-0.63,0.11
1.225997,-0.11,-0.63,0.11
1.228013,-0.12,-0.62,0.11
1.229994,-0.13,-0.62,0.11
1.231849,-0.14,-0.62,0.11
1.236097,-0.14,-0.61,0.10
1.237216,-0.15,-0.61,0.10
1.238144,-0.16,-0.60,0.10
1.240059,-0.17,-0.59,0.10
1.242292,-0.18,-0.58,0.10
1.244114,-0.19,-0.58,0.09
1.246580,-0.20,-0.56,0.09
1.248066,-0.21,-0.56,0.09
1.250384,-0.22,-0.55,0.09
1.253879,-0.24,-0.54,0.09
1.254904,-0.24,-0.53,0.08
1.256050,-0.26,-0.52,0.09
1.258974,-0.27,-0.50,0.08
1.260421,-0.28,-0.50,0.08
1.262316,-0.29,-0.48,0.08
1.263990,-0.31,-0.47,0.08
1.266147,-0.31,-0.46,0.08
1.271792,-0.33,-0.44,0.08
1.272788,-0.34,-0.43,0.09
1.273190,-0.35,-0.42,0.08
1.274403,-0.36,-0.41,0.09
1.275912,-0.37,-0.39,0.09
1.278378,-0.39,-0.38,0.09
1.279929,-0.40,-0.36,0.09
1.282352,-0.41,-0.34,0.09
1.283669,-0.42,-0.33,0.09
1.286440,-0.44,-0.32,0.09
1.287902,-0.44,-0.31,0.09
1.290572,-0.45,-0.29,0.09
1.291980,-0.47,-0.27,0.08
1.293487,-0.47,-0.26,0.08
1.295636,-0.48,-0.24,0.08
1.297399,-0.50,-0.23,0.08
1.299562,-0.50,-0.22,0.08
1.301618,-0.51,-0.20,0.07
1.303658,-0.52,-0.18,0.07
1.306010,-0.53,-0.17,0.07
1.308029,-0.54,-0.15,0.07
1.309760,-0.55,-0.14,0.07
1.311981,-0.55,-0.13,0.06
1.313510,-0.56,-0.11,0.06
1.315555,-0.56,-0.10,0.05
1.318542,-0.57,-0.09,0.05
1.319944,-0.57,-0.07,0.05
1.321597,-0.58,-0.05,0.05
1.324391,-0.58,-0.04,0.04
1.325618,-0.58,-0.03,0.04
1.327548,-0.59,-0.01,0.04
1.329542,-0.59,-0.00,0.03
1.331705,-0.59,0.02,0.03
1.333710,-0.59,0.03,0.03
1.336514,-0.59,0.04,0.03
1.338094,-0.59,0.05,0.03
1.339558,-0.59,0.07,0.02
1.341949,-0.59,0.08,0.02
1.343628,-0.58,0.09,0.02
1.345710,-0.58,0.10,0.02
1.347555,-0.58,0.11,0.02
1.349702,-0.58,0.12,0.03
1.352447,-0.57,0.14,0.02
1.354062,-0.56,0.14,0.02
1.355884,-0.56,0.15,0.02
1.357729,-0.55,0.16,0.02
1.360836,-0.54,0.17,0.03
1.361934,-0.53,0.18,0.03
1.363555,-0.53,0.19,0.03
1.365631,-0.52,0.20,0.03
1.375844,-0.51,0.21,0.03
1.376876,-0.50,0.21,0.03
1.377285,-0.49,0.22,0.03
1.377661,-0.48,0.23,0.03
1.377982,-0.47,0.23,0.03
1.378320,-0.46,0.24,0.03
1.379489,-0.44,0.25,0.03
1.381662,-0.44,0.25,0.03
1.383792,-0.42,0.26,0.03
1.386208,-0.41,0.27,0.03
1.387183,-0.40,0.27,0.03
1.389747,-0.38,0.28,0.03
1.391406,-0.36,0.28,0.03
1.394048,-0.35,0.29,0.03
1.395336,-0.34,0.29,0.03
1.397355,-0.32,0.30,0.03
1.399270,-0.31,0.30,0.03
1.401700,-0.29,0.30,0.02
1.404247,-0.27,0.31,0.02
1.405582,-0.27,0.31,0.02
1.407418,-0.25,0.31,0.02
1.409899,-0.23,0.32,0.02
1.411617,-0.22,0.32,0.02
1.413408,-0.20,0.32,0.02
1.415115,-0.19,0.32,0.01
1.418870,-0.17,0.32,0.01
1.419784,-0.16,0.33,0.01
1.421146,-0.15,0.32,0.01
1.423951,-0.13,0.33,0.01
1.425898,-0.11,0.33,0.00
1.427626,-0.11,0.34,0.00
1.429359,-0.09,0.33,-0.00
1.431209,-0.08,0.32,-0.00
1.433309,-0.07,0.32,-0.01
1.435451,-0.06,0.30,-0.01
1.438478,-0.04,0.27,-0.01
1.439652,-0.04,0.26,-0.01
1.441221,-0.02,0.23,-0.01
1.443209,-0.01,0.19,-0.01
1.445449,-0.01,0.17,-0.01
1.447466,0.00,0.13,-0.01
1.449356,0.01,0.09,-0.01
1.457650,0.02,0.07,-0.01
1.459027,0.02,0.02,-0.01
1.459998,0.02,-0.02,-0.01
1.460971,0.02,-0.04,-0.01
1.461906,0.03,-0.09,-0.00
1.462819,0.03,-0.14,-0.00
1.463946,0.03,-0.16,-0.00
1.465356,0.03,-0.20,0.00
1.469786,0.03,-0.25,0.00
1.471296,0.03,-0.27,0.01
1.472478,0.02,-0.31,0.01
1.473810,0.02,-0.36,0.01
1.475361,0.02,-0.38,0.02
1.477468,0.01,-0.44,0.02
1.479036,0.01,-0.49,0.03
